Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Singapore,SGP,..,..,..,..,..,..,2.51,2.4,2.31,2.26,2.19,2.14,2.19,2.19,2.25,2.4,2.5,2.49,2.58,2.69,2.77,2.84,2.83,2.81,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Indonesia,IDN,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.6,0.62,0.58,0.56,0.6,0.81,0.96,0.91,0.95,0.97,1.02,1.15,1.16,1.38,1.34,1.4,1.37,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Viet Nam,VNM,1.43,1.44,1.45,1.47,1.55,1.57,1.6,1.71,1.78,1.9,2.02,2.21,2.27,2.3,2.42,2.51,2.47,2.52,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Thailand,THA,2.16,2.16,2.09,2.08,2.04,2.01,2.02,2.07,1.86,1.73,1.96,2.09,2.12,2.17,2.14,2.13,2,2.12,2.1,2.21,2.32,2.34,2.39,2.39,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Japan,JPN,14.67,14.59,14.43,14.26,14.18,14.06,13.96,13.86,13.7,13.6,13.5,13.37,13.32,13.27,13.18,13.15,13.09,13.01,12.93,12.79,12.62,12.6,12.59,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,United States,USA,3.49,3.47,3.4,3.33,3.26,3.2,3.17,3.13,3.12,3.07,3.03,2.94,2.9,2.86,2.79,2.75,2.72,2.8,2.76,2.72,2.71,2.7,2.68,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,East Asia & Pacific,EAS,2.51691508335149,2.48587663442379,2.49206810366002,2.46396595601405,2.50443546476782,2.5213660007868,2.58379923452339,2.63466664790671,2.73787949674109,2.82344714472743,3.06990283631759,3.10820125146789,3.45424181923931,3.51575723204262,3.6891093725598,3.82518927658669,3.99121085943343,4.17247444442441,4.49575172837371,4.54711009993475,4.70403380537013,4.92243452516751,5.27344041877921,4.71791978451013,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/29/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
